Row;;;Description;Special
SK_ID_CURR;Numéro demande;;ID of loan in our sample;
TARGET;;;"Target variable (1 - client with payment difficulties: he/she had late payment more than X days on at least one of the first Y installments of the loan in our sample; 0 - all other cases)";
NAME_CONTRACT_TYPE;Type crédit;cash - revolving;Identification if loan is cash or revolving;
CODE_GENDER;Sexe demandeur;F : femme - M : homme;Gender of the client;
FLAG_OWN_CAR;;;Flag if the client owns a car;
FLAG_OWN_REALTY;;;Flag if client owns a house or flat;
CNT_CHILDREN;;;Number of children the client has;
AMT_INCOME_TOTAL;Revenus demandeur;;Income of the client;
AMT_CREDIT;Montant crédit;;Credit amount of the loan;
AMT_ANNUITY;Annuité;;Loan annuity;
AMT_GOODS_PRICE;Montant biens financés;;For consumer loans it is the price of the goods for which the loan is given;
NAME_TYPE_SUITE;;;Who was accompanying client when he was applying for the loan;
NAME_INCOME_TYPE;Type revenus demandeur;businessman - working…;"Clients income type (businessman; working; maternity leave;…)";
NAME_EDUCATION_TYPE;Niveau d'éducation demandeur;;Level of highest education the client achieved;
NAME_FAMILY_STATUS;Statut marital demandeur;;Family status of the client;
NAME_HOUSING_TYPE;;;"What is the housing situation of the client (renting; living with parents; ...)";
REGION_POPULATION_RELATIVE;Densité population demandeur;;Normalized population of region where client lives (higher number means the client lives in more populated region);normalized 
YEARS_BIRTH;Age demandeur;;Client's age in days at the time of application;time only relative to the application
DAYS_EMPLOYED;;;How many days before the application the person started current employment;time only relative to the application
DAYS_REGISTRATION;;;How many days before the application did client change his registration;time only relative to the application
DAYS_ID_PUBLISH;Age dépôt pièce d'identité demandeur;;How many days before the application did client change the identity document with which he applied for the loan;time only relative to the application
OWN_CAR_AGE;Age véhicule demandeur;;Age of client's car;
FLAG_MOBIL;;;"Did client provide mobile phone (1=YES; 0=NO)";
FLAG_EMP_PHONE;;;"Did client provide work phone (1=YES; 0=NO)";
FLAG_WORK_PHONE;Fourniture téléphone domicile;0 : non - 1 : oui;"Did client provide home phone (1=YES; 0=NO)";
FLAG_CONT_MOBILE;;;"Was mobile phone reachable (1=YES; 0=NO)";
FLAG_PHONE;;;"Did client provide home phone (1=YES; 0=NO)";
FLAG_EMAIL;;;"Did client provide email (1=YES; 0=NO)";
OCCUPATION_TYPE;Type profession demandeur;;What kind of occupation does the client have;
CNT_FAM_MEMBERS;;;How many family members does client have;
REGION_RATING_CLIENT;;;"Our rating of the region where client lives (1;2;3)";
REGION_RATING_CLIENT_W_CITY;Score interne région habitation demandeur;entre 1 et 3;"Our rating of the region where client lives with taking city into account (1;2;3)";
WEEKDAY_APPR_PROCESS_START;;;On which day of the week did the client apply for the loan;
HOUR_APPR_PROCESS_START;Heure approximative demande;;Approximately at what hour did the client apply for the loan;rounded
REG_REGION_NOT_LIVE_REGION;;;"Flag if client's permanent address does not match contact address (1=different; 0=same; at region level)";
REG_REGION_NOT_WORK_REGION;;;"Flag if client's permanent address does not match work address (1=different; 0=same; at region level)";
LIVE_REGION_NOT_WORK_REGION;;;"Flag if client's contact address does not match work address (1=different; 0=same; at region level)";
REG_CITY_NOT_LIVE_CITY;;;"Flag if client's permanent address does not match contact address (1=different; 0=same; at city level)";
REG_CITY_NOT_WORK_CITY;;;"Flag if client's permanent address does not match work address (1=different; 0=same; at city level)";
LIVE_CITY_NOT_WORK_CITY;;;"Flag if client's contact address does not match work address (1=different; 0=same; at city level)";
ORGANIZATION_TYPE;;;Type of organization where client works;
EXT_SOURCE_1;Score source externe 1;entre 0 et 1;Normalized score from external data source;normalized
EXT_SOURCE_2;Score source externe 2;entre 0 et 1;Normalized score from external data source;normalized
EXT_SOURCE_3;Score source externe 3;entre 0 et 1;Normalized score from external data source;normalized
APARTMENTS_AVG;;;"Normalized information about building where the client lives; What is average (_AVG suffix); modus (_MODE suffix); median (_MEDI suffix) apartment size; common area; living area; age of building; number of elevators; number of entrances; state of the building; number of floor";normalized
BASEMENTAREA_AVG;;;"Normalized information about building where the client lives; What is average (_AVG suffix); modus (_MODE suffix); median (_MEDI suffix) apartment size; common area; living area; age of building; number of elevators; number of entrances; state of the building; number of floor";normalized
YEARS_BEGINEXPLUATATION_AVG;;;"Normalized information about building where the client lives; What is average (_AVG suffix); modus (_MODE suffix); median (_MEDI suffix) apartment size; common area; living area; age of building; number of elevators; number of entrances; state of the building; number of floor";normalized
YEARS_BUILD_AVG;;;"Normalized information about building where the client lives; What is average (_AVG suffix); modus (_MODE suffix); median (_MEDI suffix) apartment size; common area; living area; age of building; number of elevators; number of entrances; state of the building; number of floor";normalized
COMMONAREA_AVG;;;"Normalized information about building where the client lives; What is average (_AVG suffix); modus (_MODE suffix); median (_MEDI suffix) apartment size; common area; living area; age of building; number of elevators; number of entrances; state of the building; number of floor";normalized
ELEVATORS_AVG;;;"Normalized information about building where the client lives; What is average (_AVG suffix); modus (_MODE suffix); median (_MEDI suffix) apartment size; common area; living area; age of building; number of elevators; number of entrances; state of the building; number of floor";normalized
ENTRANCES_AVG;;;"Normalized information about building where the client lives; What is average (_AVG suffix); modus (_MODE suffix); median (_MEDI suffix) apartment size; common area; living area; age of building; number of elevators; number of entrances; state of the building; number of floor";normalized
FLOORSMAX_AVG;;;"Normalized information about building where the client lives; What is average (_AVG suffix); modus (_MODE suffix); median (_MEDI suffix) apartment size; common area; living area; age of building; number of elevators; number of entrances; state of the building; number of floor";normalized
FLOORSMIN_AVG;;;"Normalized information about building where the client lives; What is average (_AVG suffix); modus (_MODE suffix); median (_MEDI suffix) apartment size; common area; living area; age of building; number of elevators; number of entrances; state of the building; number of floor";normalized
LANDAREA_AVG;;;"Normalized information about building where the client lives; What is average (_AVG suffix); modus (_MODE suffix); median (_MEDI suffix) apartment size; common area; living area; age of building; number of elevators; number of entrances; state of the building; number of floor";normalized
LIVINGAPARTMENTS_AVG;;;"Normalized information about building where the client lives; What is average (_AVG suffix); modus (_MODE suffix); median (_MEDI suffix) apartment size; common area; living area; age of building; number of elevators; number of entrances; state of the building; number of floor";normalized
LIVINGAREA_AVG;;;"Normalized information about building where the client lives; What is average (_AVG suffix); modus (_MODE suffix); median (_MEDI suffix) apartment size; common area; living area; age of building; number of elevators; number of entrances; state of the building; number of floor";normalized
NONLIVINGAPARTMENTS_AVG;;;"Normalized information about building where the client lives; What is average (_AVG suffix); modus (_MODE suffix); median (_MEDI suffix) apartment size; common area; living area; age of building; number of elevators; number of entrances; state of the building; number of floor";normalized
NONLIVINGAREA_AVG;;;"Normalized information about building where the client lives; What is average (_AVG suffix); modus (_MODE suffix); median (_MEDI suffix) apartment size; common area; living area; age of building; number of elevators; number of entrances; state of the building; number of floor";normalized
APARTMENTS_MODE;;;"Normalized information about building where the client lives; What is average (_AVG suffix); modus (_MODE suffix); median (_MEDI suffix) apartment size; common area; living area; age of building; number of elevators; number of entrances; state of the building; number of floor";normalized
BASEMENTAREA_MODE;;;"Normalized information about building where the client lives; What is average (_AVG suffix); modus (_MODE suffix); median (_MEDI suffix) apartment size; common area; living area; age of building; number of elevators; number of entrances; state of the building; number of floor";normalized
YEARS_BEGINEXPLUATATION_MODE;;;"Normalized information about building where the client lives; What is average (_AVG suffix); modus (_MODE suffix); median (_MEDI suffix) apartment size; common area; living area; age of building; number of elevators; number of entrances; state of the building; number of floor";normalized
YEARS_BUILD_MODE;;;"Normalized information about building where the client lives; What is average (_AVG suffix); modus (_MODE suffix); median (_MEDI suffix) apartment size; common area; living area; age of building; number of elevators; number of entrances; state of the building; number of floor";normalized
COMMONAREA_MODE;;;"Normalized information about building where the client lives; What is average (_AVG suffix); modus (_MODE suffix); median (_MEDI suffix) apartment size; common area; living area; age of building; number of elevators; number of entrances; state of the building; number of floor";normalized
ELEVATORS_MODE;;;"Normalized information about building where the client lives; What is average (_AVG suffix); modus (_MODE suffix); median (_MEDI suffix) apartment size; common area; living area; age of building; number of elevators; number of entrances; state of the building; number of floor";normalized
ENTRANCES_MODE;;;"Normalized information about building where the client lives; What is average (_AVG suffix); modus (_MODE suffix); median (_MEDI suffix) apartment size; common area; living area; age of building; number of elevators; number of entrances; state of the building; number of floor";normalized
FLOORSMAX_MODE;;;"Normalized information about building where the client lives; What is average (_AVG suffix); modus (_MODE suffix); median (_MEDI suffix) apartment size; common area; living area; age of building; number of elevators; number of entrances; state of the building; number of floor";normalized
FLOORSMIN_MODE;;;"Normalized information about building where the client lives; What is average (_AVG suffix); modus (_MODE suffix); median (_MEDI suffix) apartment size; common area; living area; age of building; number of elevators; number of entrances; state of the building; number of floor";normalized
LANDAREA_MODE;;;"Normalized information about building where the client lives; What is average (_AVG suffix); modus (_MODE suffix); median (_MEDI suffix) apartment size; common area; living area; age of building; number of elevators; number of entrances; state of the building; number of floor";normalized
LIVINGAPARTMENTS_MODE;;;"Normalized information about building where the client lives; What is average (_AVG suffix); modus (_MODE suffix); median (_MEDI suffix) apartment size; common area; living area; age of building; number of elevators; number of entrances; state of the building; number of floor";normalized
LIVINGAREA_MODE;;;"Normalized information about building where the client lives; What is average (_AVG suffix); modus (_MODE suffix); median (_MEDI suffix) apartment size; common area; living area; age of building; number of elevators; number of entrances; state of the building; number of floor";normalized
NONLIVINGAPARTMENTS_MODE;;;"Normalized information about building where the client lives; What is average (_AVG suffix); modus (_MODE suffix); median (_MEDI suffix) apartment size; common area; living area; age of building; number of elevators; number of entrances; state of the building; number of floor";normalized
NONLIVINGAREA_MODE;;;"Normalized information about building where the client lives; What is average (_AVG suffix); modus (_MODE suffix); median (_MEDI suffix) apartment size; common area; living area; age of building; number of elevators; number of entrances; state of the building; number of floor";normalized
APARTMENTS_MEDI;;;"Normalized information about building where the client lives; What is average (_AVG suffix); modus (_MODE suffix); median (_MEDI suffix) apartment size; common area; living area; age of building; number of elevators; number of entrances; state of the building; number of floor";normalized
BASEMENTAREA_MEDI;;;"Normalized information about building where the client lives; What is average (_AVG suffix); modus (_MODE suffix); median (_MEDI suffix) apartment size; common area; living area; age of building; number of elevators; number of entrances; state of the building; number of floor";normalized
YEARS_BEGINEXPLUATATION_MEDI;;;"Normalized information about building where the client lives; What is average (_AVG suffix); modus (_MODE suffix); median (_MEDI suffix) apartment size; common area; living area; age of building; number of elevators; number of entrances; state of the building; number of floor";normalized
YEARS_BUILD_MEDI;;;"Normalized information about building where the client lives; What is average (_AVG suffix); modus (_MODE suffix); median (_MEDI suffix) apartment size; common area; living area; age of building; number of elevators; number of entrances; state of the building; number of floor";normalized
COMMONAREA_MEDI;;;"Normalized information about building where the client lives; What is average (_AVG suffix); modus (_MODE suffix); median (_MEDI suffix) apartment size; common area; living area; age of building; number of elevators; number of entrances; state of the building; number of floor";normalized
ELEVATORS_MEDI;;;"Normalized information about building where the client lives; What is average (_AVG suffix); modus (_MODE suffix); median (_MEDI suffix) apartment size; common area; living area; age of building; number of elevators; number of entrances; state of the building; number of floor";normalized
ENTRANCES_MEDI;;;"Normalized information about building where the client lives; What is average (_AVG suffix); modus (_MODE suffix); median (_MEDI suffix) apartment size; common area; living area; age of building; number of elevators; number of entrances; state of the building; number of floor";normalized
FLOORSMAX_MEDI;;;"Normalized information about building where the client lives; What is average (_AVG suffix); modus (_MODE suffix); median (_MEDI suffix) apartment size; common area; living area; age of building; number of elevators; number of entrances; state of the building; number of floor";normalized
FLOORSMIN_MEDI;;;"Normalized information about building where the client lives; What is average (_AVG suffix); modus (_MODE suffix); median (_MEDI suffix) apartment size; common area; living area; age of building; number of elevators; number of entrances; state of the building; number of floor";normalized
LANDAREA_MEDI;;;"Normalized information about building where the client lives; What is average (_AVG suffix); modus (_MODE suffix); median (_MEDI suffix) apartment size; common area; living area; age of building; number of elevators; number of entrances; state of the building; number of floor";normalized
LIVINGAPARTMENTS_MEDI;;;"Normalized information about building where the client lives; What is average (_AVG suffix); modus (_MODE suffix); median (_MEDI suffix) apartment size; common area; living area; age of building; number of elevators; number of entrances; state of the building; number of floor";normalized
LIVINGAREA_MEDI;;;"Normalized information about building where the client lives; What is average (_AVG suffix); modus (_MODE suffix); median (_MEDI suffix) apartment size; common area; living area; age of building; number of elevators; number of entrances; state of the building; number of floor";normalized
NONLIVINGAPARTMENTS_MEDI;;;"Normalized information about building where the client lives; What is average (_AVG suffix); modus (_MODE suffix); median (_MEDI suffix) apartment size; common area; living area; age of building; number of elevators; number of entrances; state of the building; number of floor";normalized
NONLIVINGAREA_MEDI;;;"Normalized information about building where the client lives; What is average (_AVG suffix); modus (_MODE suffix); median (_MEDI suffix) apartment size; common area; living area; age of building; number of elevators; number of entrances; state of the building; number of floor";normalized
FONDKAPREMONT_MODE;;;"Normalized information about building where the client lives; What is average (_AVG suffix); modus (_MODE suffix); median (_MEDI suffix) apartment size; common area; living area; age of building; number of elevators; number of entrances; state of the building; number of floor";normalized
HOUSETYPE_MODE;;;"Normalized information about building where the client lives; What is average (_AVG suffix); modus (_MODE suffix); median (_MEDI suffix) apartment size; common area; living area; age of building; number of elevators; number of entrances; state of the building; number of floor";normalized
TOTALAREA_MODE;;;"Normalized information about building where the client lives; What is average (_AVG suffix); modus (_MODE suffix); median (_MEDI suffix) apartment size; common area; living area; age of building; number of elevators; number of entrances; state of the building; number of floor";normalized
WALLSMATERIAL_MODE;;;"Normalized information about building where the client lives; What is average (_AVG suffix); modus (_MODE suffix); median (_MEDI suffix) apartment size; common area; living area; age of building; number of elevators; number of entrances; state of the building; number of floor";normalized
EMERGENCYSTATE_MODE;;;"Normalized information about building where the client lives; What is average (_AVG suffix); modus (_MODE suffix); median (_MEDI suffix) apartment size; common area; living area; age of building; number of elevators; number of entrances; state of the building; number of floor";normalized
OBS_30_CNT_SOCIAL_CIRCLE;;;How many observation of client's social surroundings with observable 30 DPD (days past due) default;
DEF_30_CNT_SOCIAL_CIRCLE;Retards de paiement de plus de 30 jours dans l'entourage du demandeur;nombre;How many observation of client's social surroundings defaulted on 30 DPD (days past due) ;
OBS_60_CNT_SOCIAL_CIRCLE;;;How many observation of client's social surroundings with observable 60 DPD (days past due) default;
DEF_60_CNT_SOCIAL_CIRCLE;Retards de paiement de plus de 30 jours dans l'entourage du demandeur;nombre;How many observation of client's social surroundings defaulted on 60 (days past due) DPD;
YEARS_LAST_PHONE_CHANGE;Age changement téléphone demandeur;;How many days before application did client change phone;
FLAG_DOCUMENT_2;Fourniture document 2;0 : non - 1 : oui;Did client provide document 2;
FLAG_DOCUMENT_3;Fourniture document 3;0 : non - 1 : oui;Did client provide document 3;
FLAG_DOCUMENT_4;Fourniture document 4;0 : non - 1 : oui;Did client provide document 4;
FLAG_DOCUMENT_5;Fourniture document 5;0 : non - 1 : oui;Did client provide document 5;
FLAG_DOCUMENT_6;Fourniture document 6;0 : non - 1 : oui;Did client provide document 6;
FLAG_DOCUMENT_7;Fourniture document 7;0 : non - 1 : oui;Did client provide document 7;
FLAG_DOCUMENT_8;Fourniture document 8;0 : non - 1 : oui;Did client provide document 8;
FLAG_DOCUMENT_9;Fourniture document 9;0 : non - 1 : oui;Did client provide document 9;
FLAG_DOCUMENT_10;Fourniture document 10;0 : non - 1 : oui;Did client provide document 10;
FLAG_DOCUMENT_11;Fourniture document 11;0 : non - 1 : oui;Did client provide document 11;
FLAG_DOCUMENT_12;Fourniture document 12;0 : non - 1 : oui;Did client provide document 12;
FLAG_DOCUMENT_13;Fourniture document 13;0 : non - 1 : oui;Did client provide document 13;
FLAG_DOCUMENT_14;Fourniture document 14;0 : non - 1 : oui;Did client provide document 14;
FLAG_DOCUMENT_15;Fourniture document 15;0 : non - 1 : oui;Did client provide document 15;
FLAG_DOCUMENT_16;Fourniture document 16;0 : non - 1 : oui;Did client provide document 16;
FLAG_DOCUMENT_17;Fourniture document 17;0 : non - 1 : oui;Did client provide document 17;
FLAG_DOCUMENT_18;Fourniture document 18;0 : non - 1 : oui;Did client provide document 18;
FLAG_DOCUMENT_19;Fourniture document 19;0 : non - 1 : oui;Did client provide document 19;
FLAG_DOCUMENT_20;Fourniture document 20;0 : non - 1 : oui;Did client provide document 20;
FLAG_DOCUMENT_21;Fourniture document 21;0 : non - 1 : oui;Did client provide document 21;
AMT_REQ_CREDIT_BUREAU_HOUR;;;Number of enquiries to Credit Bureau about the client one hour before application;
AMT_REQ_CREDIT_BUREAU_DAY;;;Number of enquiries to Credit Bureau about the client one day before application (excluding one hour before application);
AMT_REQ_CREDIT_BUREAU_WEEK;;;Number of enquiries to Credit Bureau about the client one week before application (excluding one day before application);
AMT_REQ_CREDIT_BUREAU_MON;;;Number of enquiries to Credit Bureau about the client one month before application (excluding one week before application);
AMT_REQ_CREDIT_BUREAU_QRT;Enquêtes Credit Bureau sur 1 trimestre;nombre;Number of enquiries to Credit Bureau about the client 3 month before application (excluding one month before application);
AMT_REQ_CREDIT_BUREAU_YEAR;Enquêtes Credit Bureau sur 1 an;nombre;Number of enquiries to Credit Bureau about the client one day year (excluding last 3 months before application);
CREDIT_TERM;Ratio annuel remboursement;AMT_ANNUITY / AMT_CREDIT;;
YEARS_EMPLOYED;Ancienneté emploi actuel demandeur;;;
DAYS_EMPLOYED_PERCENT;Ratio activité professionnelle;Ancienneté / Age;;
ANNUITY_INCOME_PERCENT;Ratio annuités / revenus;AMT_ANNUITY / AMT_INCOME_TOTAL;;
CREDIT_INCOME_PERCENT;Ratio montant crédit / revenus;AMT_CREDIT / AMT_INCOME_TOTAL;;
